prad,napiecie,power,setcurrent
0.003,4.341,0.0,1
0.0,4.341,0.0,101
0.052,4.314,0.2,201
0.161,4.314,0.7,301
0.271,4.287,1.2,401
0.362,4.287,1.6,501
0.456,4.261,1.9,601
0.577,4.234,2.4,701
0.65,4.207,2.7,801
0.782,4.207,3.3,901
0.86,4.18,3.6,1001
0.992,4.18,4.1,1101
1.062,4.153,4.4,1201
1.171,4.153,4.9,1301
1.264,4.127,5.1,1401
1.357,4.1,5.6,1501
1.455,4.1,6.0,1601
1.567,4.073,6.4,1701
1.658,4.073,6.8,1801
1.789,4.046,7.2,1901
1.881,4.019,7.6,2001
1.985,4.019,8.0,2101
2.005,4.019,8.1,2201
2.005,4.019,8.1,2301
2.005,4.019,8.1,2401
2.005,4.019,8.1,2501
2.215,3.956,8.8,2601
2.403,3.936,9.5,2701
2.649,3.892,10.3,2801
2.762,3.871,10.7,2901
2.878,3.871,11.1,3001
2.967,3.851,11.4,3101
3.098,3.828,11.9,3201
3.201,3.807,12.2,3301
3.311,3.785,12.5,3401
3.377,3.765,12.7,3501
3.494,3.744,13.1,3601
3.59,3.744,13.4,3701
3.678,3.723,13.7,3801
3.803,3.7,14.0,3901
3.898,3.677,14.3,4001
4.008,3.657,14.7,4101
4.096,3.636,14.9,4201
4.185,3.616,15.1,4301
4.287,3.589,15.4,4401
4.397,3.565,15.7,4501
4.486,3.541,15.9,4601
4.603,3.513,16.2,4701
4.684,3.495,16.4,4801
4.809,3.473,16.7,4901
4.897,3.456,16.9,5001
4.985,3.434,17.1,5101
5.08,3.403,17.3,5201
5.205,3.362,17.5,5301
5.301,3.332,17.7,5401
5.389,3.296,17.8,5501
5.506,3.269,18.0,5601
5.594,3.228,18.1,5701
5.704,3.195,18.2,5801
5.8,3.1,18.0,5901
5.888,2.9,17.1,6001
5.983,2.181,14.2,6101
6.079,1.539,9.4,6201
6.174,0.824,5.1,6301
6.211,0.573,3.6,6401
6.248,0.505,3.2,6501
6.284,0.501,3.1,6601
6.321,0.499,3.2,6701
6.328,0.499,3.2,6801
6.292,0.503,3.2,6901
6.262,0.505,3.2,7001
6.255,0.507,3.2,7101
6.284,0.503,3.2,7201
6.314,0.501,3.2,7301
6.35,0.499,3.2,7401
6.35,0.502,3.2,7501
6.314,0.504,3.2,7601
6.277,0.508,3.2,7701
6.27,0.508,3.2,7801
6.299,0.504,3.2,7901
6.35,0.5,3.2,8001
6.372,0.502,3.2,8101
6.358,0.504,3.2,8201
6.314,0.508,3.2,8301
6.292,0.508,3.2,8401
6.306,0.508,3.2,8501
6.35,0.506,3.2,8601
6.387,0.504,3.2,8701
6.402,0.504,3.2,8801
6.372,0.506,3.2,8901
6.321,0.51,3.2,9001
6.314,0.512,3.2,9101
6.328,0.512,3.2,9201
6.365,0.508,3.2,9301
6.409,0.505,3.2,9401
6.402,0.505,3.2,9501
6.372,0.509,3.2,9601
6.35,0.513,3.3,9701
6.336,0.513,3.3,9801
6.35,0.511,3.2,9901
